Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,E_coh,E_coh_ROM,E_coh_R2,E_coh_RMSE,C11_avg,C11_ROM,C11_R2,C11_RMSE,C12_avg,C12_ROM,C12_R2,C12_RMSE,C44_avg,C44_ROM,C44_R2,C44_RMSE,B,B_ROM,B_R2,B_RMSE,G,G_ROM,G_R2,G_RMSE,E_VRH,E_VRH_ROM,E_VRH_R2,E_VRH_RMSE,nu,nu_ROM,nu_R2,nu_RMSE
22,0,68.75,31.25,0,0,4.211904046,4.125531002104581,0.9319143761045303,7.711036780050582,202.38357,230.0417865808645,-0.20370784030291111,20.864612649891303,143.66140666666666,144.2480554743403,0.6293324520770509,3.337459374149673,70.71118,90.12463810587663,-0.04927272323602194,15.650329041592478,163.2354611,172.84596584318172,0.5069753694531447,6.734378754560092,46.05486559,66.87784343559545,-0.7170748484395773,15.975934284796029,126.2877543,175.6014646582992,-0.5016495296854211,38.402999591912995,0.37105768,0.3393070026251019,-0.16847387486350796,0.027754300608509325
23,0,68.75,31.25,0,0,4.217904919,4.125531002104581,0.9319143761045303,7.711036780050582,206.80025666666666,230.0417865808645,-0.20370784030291111,20.864612649891303,146.62663666666666,144.2480554743403,0.6293324520770509,3.337459374149673,68.96685666666667,90.12463810587663,-0.04927272323602194,15.650329041592478,166.68451,172.84596584318172,0.5069753694531447,6.734378754560092,48.58967777,66.87784343559545,-0.7170748484395773,15.975934284796029,132.8592401,175.6014646582992,-0.5016495296854211,38.402999591912995,0.367154982,0.3393070026251019,-0.16847387486350796,0.027754300608509325
24,0,68.75,31.25,0,0,4.222156412,4.125531002104581,0.9319143761045303,7.711036780050582,206.53782999999999,230.0417865808645,-0.20370784030291111,20.864612649891303,146.30947999999998,144.2480554743403,0.6293324520770509,3.337459374149673,73.26969000000001,90.12463810587663,-0.04927272323602194,15.650329041592478,166.3855967,172.84596584318172,0.5069753694531447,6.734378754560092,50.56156819,66.87784343559545,-0.7170748484395773,15.975934284796029,137.7331666,175.6014646582992,-0.5016495296854211,38.402999591912995,0.362034165,0.3393070026251019,-0.16847387486350796,0.027754300608509325
25,0,68.75,31.25,0,0,4.216174118,4.125531002104581,0.9319143761045303,7.711036780050582,204.38930000000002,230.0417865808645,-0.20370784030291111,20.864612649891303,145.16881666666666,144.2480554743403,0.6293324520770509,3.337459374149673,71.28922,90.12463810587663,-0.04927272323602194,15.650329041592478,164.9089778,172.84596584318172,0.5069753694531447,6.734378754560092,48.86254726,66.87784343559545,-0.7170748484395773,15.975934284796029,133.4110704,175.6014646582992,-0.5016495296854211,38.402999591912995,0.365166962,0.3393070026251019,-0.16847387486350796,0.027754300608509325
26,0,68.75,31.25,0,0,4.213496119,4.125531002104581,0.9319143761045303,7.711036780050582,210.26253,230.0417865808645,-0.20370784030291111,20.864612649891303,145.90742333333333,144.2480554743403,0.6293324520770509,3.337459374149673,73.80551000000001,90.12463810587663,-0.04927272323602194,15.650329041592478,167.3591256,172.84596584318172,0.5069753694531447,6.734378754560092,52.66877419,66.87784343559545,-0.7170748484395773,15.975934284796029,143.0048677,175.6014646582992,-0.5016495296854211,38.402999591912995,0.357586824,0.3393070026251019,-0.16847387486350796,0.027754300608509325
27,0,68.75,31.25,0,0,4.216169454,4.125531002104581,0.9319143761045303,7.711036780050582,205.6333666666667,230.0417865808645,-0.20370784030291111,20.864612649891303,145.25876333333335,144.2480554743403,0.6293324520770509,3.337459374149673,71.18786999999999,90.12463810587663,-0.04927272323602194,15.650329041592478,165.3836311,172.84596584318172,0.5069753694531447,6.734378754560092,49.12120353,66.87784343559545,-0.7170748484395773,15.975934284796029,134.0882606,175.6014646582992,-0.5016495296854211,38.402999591912995,0.364871491,0.3393070026251019,-0.16847387486350796,0.027754300608509325
28,0,62.5,37.5,0,0,4.104395281,3.9987527524378734,0.9319143761045303,7.711036780050582,201.56328999999997,222.6502993928909,-0.20370784030291111,20.864612649891303,142.03653,142.28264516357345,0.6293324520770509,3.337459374149673,64.69438333333333,83.8802199622523,-0.04927272323602194,15.650329041592478,161.8787833,169.0718632400126,0.5069753694531447,6.734378754560092,47.24310985,62.401790086658906,-0.7170748484395773,15.975934284796029,129.1641346,164.46226124290055,-0.5016495296854211,38.402999591912995,0.367015582,0.3469625606614071,-0.16847387486350796,0.027754300608509325
29,0,62.5,37.5,0,0,4.098059388,3.9987527524378734,0.9319143761045303,7.711036780050582,199.17448,222.6502993928909,-0.20370784030291111,20.864612649891303,141.50571333333332,142.28264516357345,0.6293324520770509,3.337459374149673,64.87522666666666,83.8802199622523,-0.04927272323602194,15.650329041592478,160.7286356,169.0718632400126,0.5069753694531447,6.734378754560092,46.13514036,62.401790086658906,-0.7170748484395773,15.975934284796029,126.3192974,164.46226124290055,-0.5016495296854211,38.402999591912995,0.369013906,0.3469625606614071,-0.16847387486350796,0.027754300608509325
30,0,62.5,37.5,0,0,4.092911476,3.9987527524378734,0.9319143761045303,7.711036780050582,200.39243,222.6502993928909,-0.20370784030291111,20.864612649891303,144.15997333333334,142.28264516357345,0.6293324520770509,3.337459374149673,68.88350333333334,83.8802199622523,-0.04927272323602194,15.650329041592478,162.9041256,169.0718632400126,0.5069753694531447,6.734378754560092,47.80867854,62.401790086658906,-0.7170748484395773,15.975934284796029,130.6455321,164.46226124290055,-0.5016495296854211,38.402999591912995,0.366336993,0.3469625606614071,-0.16847387486350796,0.027754300608509325
31,0,62.5,37.5,0,0,4.09954291,3.9987527524378734,0.9319143761045303,7.711036780050582,197.88336333333336,222.6502993928909,-0.20370784030291111,20.864612649891303,144.64388,142.28264516357345,0.6293324520770509,3.337459374149673,66.34119333333332,83.8802199622523,-0.04927272323602194,15.650329041592478,162.3903744,169.0718632400126,0.5069753694531447,6.734378754560092,45.78479776,62.401790086658906,-0.7170748484395773,15.975934284796029,125.5546499,164.46226124290055,-0.5016495296854211,38.402999591912995,0.371139068,0.3469625606614071,-0.16847387486350796,0.027754300608509325
32,0,62.5,37.5,0,0,4.100456271,3.9987527524378734,0.9319143761045303,7.711036780050582,199.29835333333335,222.6502993928909,-0.20370784030291111,20.864612649891303,144.10081666666667,142.28264516357345,0.6293324520770509,3.337459374149673,64.51607,83.8802199622523,-0.04927272323602194,15.650329041592478,162.4999956,169.0718632400126,0.5069753694531447,6.734378754560092,44.99180496,62.401790086658906,-0.7170748484395773,15.975934284796029,123.5709432,164.46226124290055,-0.5016495296854211,38.402999591912995,0.373260568,0.3469625606614071,-0.16847387486350796,0.027754300608509325
33,0,62.5,37.5,0,0,4.092894333,3.9987527524378734,0.9319143761045303,7.711036780050582,201.64963666666665,222.6502993928909,-0.20370784030291111,20.864612649891303,145.53824999999998,142.28264516357345,0.6293324520770509,3.337459374149673,68.86718666666667,83.8802199622523,-0.04927272323602194,15.650329041592478,164.2420456,169.0718632400126,0.5069753694531447,6.734378754560092,47.75926333,62.401790086658906,-0.7170748484395773,15.975934284796029,130.6172413,164.46226124290055,-0.5016495296854211,38.402999591912995,0.367454523,0.3469625606614071,-0.16847387486350796,0.027754300608509325
34,0,62.5,37.5,0,0,4.099049358,3.9987527524378734,0.9319143761045303,7.711036780050582,201.04908999999998,222.6502993928909,-0.20370784030291111,20.864612649891303,145.27071333333333,142.28264516357345,0.6293324520770509,3.337459374149673,67.52898666666667,83.8802199622523,-0.04927272323602194,15.650329041592478,163.8635056,169.0718632400126,0.5069753694531447,6.734378754560092,47.21768461,62.401790086658906,-0.7170748484395773,15.975934284796029,129.2394914,164.46226124290055,-0.5016495296854211,38.402999591912995,0.368549649,0.3469625606614071,-0.16847387486350796,0.027754300608509325
35,0,62.5,37.5,0,0,4.095767424,3.9987527524378734,0.9319143761045303,7.711036780050582,198.47628,222.6502993928909,-0.20370784030291111,20.864612649891303,146.04090333333332,142.28264516357345,0.6293324520770509,3.337459374149673,67.05433,83.8802199622523,-0.04927272323602194,15.650329041592478,163.5193622,169.0718632400126,0.5069753694531447,6.734378754560092,41.66151618,62.401790086658906,-0.7170748484395773,15.975934284796029,115.200907,164.46226124290055,-0.5016495296854211,38.402999591912995,0.382581788,0.3469625606614071,-0.16847387486350796,0.027754300608509325
36,0,62.5,37.5,0,0,4.095212383,3.9987527524378734,0.9319143761045303,7.711036780050582,198.42403666666667,222.6502993928909,-0.20370784030291111,20.864612649891303,142.40051000000003,142.28264516357345,0.6293324520770509,3.337459374149673,63.318573333333326,83.8802199622523,-0.04927272323602194,15.650329041592478,161.0750189,169.0718632400126,0.5069753694531447,6.734378754560092,43.45724405,62.401790086658906,-0.7170748484395773,15.975934284796029,119.6145904,164.46226124290055,-0.5016495296854211,38.402999591912995,0.376233042,0.3469625606614071,-0.16847387486350796,0.027754300608509325
37,0,62.5,37.5,0,0,4.100744881,3.9987527524378734,0.9319143761045303,7.711036780050582,198.35986333333335,222.6502993928909,-0.20370784030291111,20.864612649891303,148.86256,142.28264516357345,0.6293324520770509,3.337459374149673,68.45945666666667,83.8802199622523,-0.04927272323602194,15.650329041592478,165.3616611,169.0718632400126,0.5069753694531447,6.734378754560092,43.31402558,62.401790086658906,-0.7170748484395773,15.975934284796029,119.5076593,164.46226124290055,-0.5016495296854211,38.402999591912995,0.379549207,0.3469625606614071,-0.16847387486350796,0.027754300608509325
38,0,62.5,37.5,0,0,4.09322826,3.9987527524378734,0.9319143761045303,7.711036780050582,197.47439666666665,222.6502993928909,-0.20370784030291111,20.864612649891303,143.84608,142.28264516357345,0.6293324520770509,3.337459374149673,69.29821666666668,83.8802199622523,-0.04927272323602194,15.650329041592478,161.7221856,169.0718632400126,0.5069753694531447,6.734378754560092,44.4296596,62.401790086658906,-0.7170748484395773,15.975934284796029,122.106905,164.46226124290055,-0.5016495296854211,38.402999591912995,0.374159808,0.3469625606614071,-0.16847387486350796,0.027754300608509325
39,0,62.5,37.5,0,0,4.091205058,3.9987527524378734,0.9319143761045303,7.711036780050582,191.61703333333332,222.6502993928909,-0.20370784030291111,20.864612649891303,136.07811,142.28264516357345,0.6293324520770509,3.337459374149673,63.70643999999999,83.8802199622523,-0.04927272323602194,15.650329041592478,154.5910844,169.0718632400126,0.5069753694531447,6.734378754560092,40.7815901,62.401790086658906,-0.7170748484395773,15.975934284796029,112.4560251,164.46226124290055,-0.5016495296854211,38.402999591912995,0.378759691,0.3469625606614071,-0.16847387486350796,0.027754300608509325
40,0,56.25,43.75,0,0,3.984458121,3.878992965285212,0.9319143761045303,7.711036780050582,192.14678333333333,215.6680060207983,-0.20370784030291111,20.864612649891303,136.27180333333334,140.42604025615537,0.6293324520770509,3.337459374149673,59.65815333333334,77.98149372381097,-0.04927272323602194,15.650329041592478,154.8967967,165.50669551103636,0.5069753694531447,6.734378754560092,43.61293372,58.17353170825535,-0.7170748484395773,15.975934284796029,119.6127011,153.93972576394086,-0.5016495296854211,38.402999591912995,0.371298499,0.35419430588089906,-0.16847387486350796,0.027754300608509325
41,0,56.25,43.75,0,0,3.976480967,3.878992965285212,0.9319143761045303,7.711036780050582,192.75134666666668,215.6680060207983,-0.20370784030291111,20.864612649891303,145.67919333333336,140.42604025615537,0.6293324520770509,3.337459374149673,64.54850666666667,77.98149372381097,-0.04927272323602194,15.650329041592478,161.3699111,165.50669551103636,0.5069753694531447,6.734378754560092,42.61160711,58.17353170825535,-0.7170748484395773,15.975934284796029,117.4930205,153.93972576394086,-0.5016495296854211,38.402999591912995,0.378650425,0.35419430588089906,-0.16847387486350796,0.027754300608509325
42,0,56.25,43.75,0,0,3.979406583,3.878992965285212,0.9319143761045303,7.711036780050582,185.90490999999997,215.6680060207983,-0.20370784030291111,20.864612649891303,145.70497333333333,140.42604025615537,0.6293324520770509,3.337459374149673,63.92859333333333,77.98149372381097,-0.04927272323602194,15.650329041592478,159.1049522,165.50669551103636,0.5069753694531447,6.734378754560092,32.26242425,58.17353170825535,-0.7170748484395773,15.975934284796029,90.65946413,153.93972576394086,-0.5016495296854211,38.402999591912995,0.405031801,0.35419430588089906,-0.16847387486350796,0.027754300608509325
43,0,56.25,43.75,0,0,3.97952305,3.878992965285212,0.9319143761045303,7.711036780050582,198.09342,215.6680060207983,-0.20370784030291111,20.864612649891303,142.07007,140.42604025615537,0.6293324520770509,3.337459374149673,63.46914333333333,77.98149372381097,-0.04927272323602194,15.650329041592478,160.74452,165.50669551103636,0.5069753694531447,6.734378754560092,44.8997805,58.17353170825535,-0.7170748484395773,15.975934284796029,123.2260189,153.93972576394086,-0.5016495296854211,38.402999591912995,0.37223409,0.35419430588089906,-0.16847387486350796,0.027754300608509325
44,0,56.25,43.75,0,0,3.984475938,3.878992965285212,0.9319143761045303,7.711036780050582,195.72321666666667,215.6680060207983,-0.20370784030291111,20.864612649891303,139.23792666666668,140.42604025615537,0.6293324520770509,3.337459374149673,59.84465666666667,77.98149372381097,-0.04927272323602194,15.650329041592478,158.0663567,165.50669551103636,0.5069753694531447,6.734378754560092,43.6275253,58.17353170825535,-0.7170748484395773,15.975934284796029,119.8555585,153.93972576394086,-0.5016495296854211,38.402999591912995,0.373623162,0.35419430588089906,-0.16847387486350796,0.027754300608509325
45,0,56.25,43.75,0,0,3.984454591,3.878992965285212,0.9319143761045303,7.711036780050582,191.68277333333333,215.6680060207983,-0.20370784030291111,20.864612649891303,135.83340666666666,140.42604025615537,0.6293324520770509,3.337459374149673,59.69691,77.98149372381097,-0.04927272323602194,15.650329041592478,154.4498622,165.50669551103636,0.5069753694531447,6.734378754560092,43.63604455,58.17353170825535,-0.7170748484395773,15.975934284796029,119.6409245,153.93972576394086,-0.5016495296854211,38.402999591912995,0.370895618,0.35419430588089906,-0.16847387486350796,0.027754300608509325
46,0,56.25,43.75,0,0,3.975412428,3.878992965285212,0.9319143761045303,7.711036780050582,188.4084833333333,215.6680060207983,-0.20370784030291111,20.864612649891303,137.29137666666668,140.42604025615537,0.6293324520770509,3.337459374149673,62.65745333333333,77.98149372381097,-0.04927272323602194,15.650329041592478,154.3304122,165.50669551103636,0.5069753694531447,6.734378754560092,25.93954351,58.17353170825535,-0.7170748484395773,15.975934284796029,73.69007115,153.93972576394086,-0.5016495296854211,38.402999591912995,0.420419583,0.35419430588089906,-0.16847387486350796,0.027754300608509325
47,0,56.25,43.75,0,0,3.982068761,3.878992965285212,0.9319143761045303,7.711036780050582,191.03776333333334,215.6680060207983,-0.20370784030291111,20.864612649891303,138.57883999999999,140.42604025615537,0.6293324520770509,3.337459374149673,62.32341333333333,77.98149372381097,-0.04927272323602194,15.650329041592478,156.0651478,165.50669551103636,0.5069753694531447,6.734378754560092,43.64975577,58.17353170825535,-0.7170748484395773,15.975934284796029,119.7820168,153.93972576394086,-0.5016495296854211,38.402999591912995,0.37208118,0.35419430588089906,-0.16847387486350796,0.027754300608509325
48,0,56.25,43.75,0,0,3.976798338,3.878992965285212,0.9319143761045303,7.711036780050582,193.84133,215.6680060207983,-0.20370784030291111,20.864612649891303,138.57163666666668,140.42604025615537,0.6293324520770509,3.337459374149673,56.80423333333332,77.98149372381097,-0.04927272323602194,15.650329041592478,156.9948678,165.50669551103636,0.5069753694531447,6.734378754560092,41.78438216,58.17353170825535,-0.7170748484395773,15.975934284796029,115.1384027,153.93972576394086,-0.5016495296854211,38.402999591912995,0.377768401,0.35419430588089906,-0.16847387486350796,0.027754300608509325
49,0,56.25,43.75,0,0,3.98283339,3.878992965285212,0.9319143761045303,7.711036780050582,193.72503666666668,215.6680060207983,-0.20370784030291111,20.864612649891303,143.82715,140.42604025615537,0.6293324520770509,3.337459374149673,62.63344,77.98149372381097,-0.04927272323602194,15.650329041592478,160.4597789,165.50669551103636,0.5069753694531447,6.734378754560092,42.93794634,58.17353170825535,-0.7170748484395773,15.975934284796029,118.2648797,153.93972576394086,-0.5016495296854211,38.402999591912995,0.377160411,0.35419430588089906,-0.16847387486350796,0.027754300608509325
