Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,E_coh,E_coh_ROM,E_coh_R2,E_coh_RMSE,C11_avg,C11_ROM,C11_R2,C11_RMSE,C12_avg,C12_ROM,C12_R2,C12_RMSE,C44_avg,C44_ROM,C44_R2,C44_RMSE,B,B_ROM,B_R2,B_RMSE,G,G_ROM,G_R2,G_RMSE,E_VRH,E_VRH_ROM,E_VRH_R2,E_VRH_RMSE,nu,nu_ROM,nu_R2,nu_RMSE
21,75.0,6.25,6.25,6.25,6.25,3.7345754906250006,3.7028379393838193,0.9884370329367563,8.319517088326595,184.19367,199.75034801452782,0.7623087546782934,14.22551906381822,135.79626,131.1764647399182,0.969335200053769,2.79129331571228,77.32827000000002,85.45039032729397,0.8159430537877395,6.517522197881559,151.92872999999997,154.03442583145474,0.9257443902052817,5.453349606195292,47.663227391941824,58.91030023560461,0.6286509300880794,6.7648266289318,129.45237435341514,155.79661002738942,0.6844875847724301,16.173668159975655,0.3579900212055403,0.3282015637400415,0.544967235455746,0.014698282367436727
22,6.25,6.25,75.0,6.25,6.25,3.386038031875,3.327213881848314,0.9884370329367563,8.319517088326595,170.46223333333333,182.83140561577954,0.7623087546782934,14.22551906381822,138.62519,134.6711036816793,0.969335200053769,2.79129331571228,35.158053333333335,46.46941732436473,0.8159430537877395,6.517522197881559,149.2375377777778,150.72453765971272,0.9257443902052817,5.453349606195292,25.33857077122249,35.52657423482824,0.6286509300880794,6.7648266289318,71.94399751639718,98.1467310011446,0.6844875847724301,16.173668159975655,0.4196538187959951,0.3932699018625444,0.544967235455746,0.014698282367436727
23,6.25,6.25,75.0,6.25,6.25,3.38623292125,3.327213881848314,0.9884370329367563,8.319517088326595,170.9815,182.83140561577954,0.7623087546782934,14.22551906381822,136.50814333333332,134.6711036816793,0.969335200053769,2.79129331571228,33.46646333333334,46.46941732436473,0.8159430537877395,6.517522197881559,147.99926222222223,150.72453765971272,0.9257443902052817,5.453349606195292,25.377975346682035,35.52657423482824,0.6286509300880794,6.7648266289318,72.01755477749366,98.1467310011446,0.6844875847724301,16.173668159975655,0.4188987457368102,0.3932699018625444,0.544967235455746,0.014698282367436727
24,6.25,6.25,75.0,6.25,6.25,3.387048991875,3.327213881848314,0.9884370329367563,8.319517088326595,167.94943333333333,182.83140561577954,0.7623087546782934,14.22551906381822,140.22725666666665,134.6711036816793,0.969335200053769,2.79129331571228,33.96457,46.46941732436473,0.8159430537877395,6.517522197881559,149.46798222222222,150.72453765971272,0.9257443902052817,5.453349606195292,23.078193445702425,35.52657423482824,0.6286509300880794,6.7648266289318,65.84567352131361,98.1467310011446,0.6844875847724301,16.173668159975655,0.4265777275035206,0.3932699018625444,0.544967235455746,0.014698282367436727
25,6.25,6.25,6.25,75.0,6.25,3.8952449906250006,3.8582080754494545,0.9884370329367563,8.319517088326595,201.86954333333333,205.4414657913351,0.7623087546782934,14.22551906381822,150.42121999999998,149.97640953286177,0.969335200053769,2.79129331571228,71.31329,69.491735464191,0.8159430537877395,6.517522197881559,167.5706611111111,168.46476161901958,0.9257443902052817,5.453349606195292,47.37534016153016,47.76951853750846,0.6286509300880794,6.7648266289318,129.8856574028098,130.44963233225295,0.6844875847724301,16.173668159975655,0.3708150375274757,0.37084632635111675,0.544967235455746,0.014698282367436727
26,6.25,6.25,6.25,75.0,6.25,3.897369405,3.8582080754494545,0.9884370329367563,8.319517088326595,202.49839666666665,205.4414657913351,0.7623087546782934,14.22551906381822,150.27276333333333,149.97640953286177,0.969335200053769,2.79129331571228,72.31889333333334,69.491735464191,0.8159430537877395,6.517522197881559,167.68130777777776,168.46476161901958,0.9257443902052817,5.453349606195292,48.01438540797025,47.76951853750846,0.6286509300880794,6.7648266289318,131.4924995899281,130.44963233225295,0.6844875847724301,16.173668159975655,0.3693031627152796,0.37084632635111675,0.544967235455746,0.014698282367436727
27,6.25,6.25,6.25,75.0,6.25,3.900781244375001,3.8582080754494545,0.9884370329367563,8.319517088326595,203.65351,205.4414657913351,0.7623087546782934,14.22551906381822,149.69074666666668,149.97640953286177,0.969335200053769,2.79129331571228,73.68386666666667,69.491735464191,0.8159430537877395,6.517522197881559,167.67833444444443,168.46476161901958,0.9257443902052817,5.453349606195292,49.16494982838187,47.76951853750846,0.6286509300880794,6.7648266289318,134.3626917706044,130.44963233225295,0.6844875847724301,16.173668159975655,0.3664479699421933,0.37084632635111675,0.544967235455746,0.014698282367436727
28,6.25,6.25,6.25,6.25,75.0,5.12249469125,5.118195690568704,0.9884370329367563,8.319517088326595,281.45196333333337,291.1952225241964,0.7623087546782934,14.22551906381822,196.96896333333333,198.28569206640762,0.969335200053769,2.79129331571228,73.8051,66.55241575061815,0.8159430537877395,6.517522197881559,225.1299633333333,229.2555355523372,0.9257443902052817,5.453349606195292,58.933877775020406,57.13302705203603,0.6286509300880794,6.7648266289318,162.61224397658046,157.65245488151305,0.6844875847724301,16.173668159975655,0.3796160215127144,0.3831960601302904,0.544967235455746,0.014698282367436727
29,6.25,6.25,6.25,6.25,75.0,5.12006826875,5.118195690568704,0.9884370329367563,8.319517088326595,282.5498866666667,291.1952225241964,0.7623087546782934,14.22551906381822,196.93807666666666,198.28569206640762,0.969335200053769,2.79129331571228,75.78663333333333,66.55241575061815,0.8159430537877395,6.517522197881559,225.47534666666667,229.2555355523372,0.9257443902052817,5.453349606195292,60.20693610906339,57.13302705203603,0.6286509300880794,6.7648266289318,165.85819815412555,157.65245488151305,0.6844875847724301,16.173668159975655,0.3774010842677452,0.3831960601302904,0.544967235455746,0.014698282367436727
30,6.25,6.25,6.25,6.25,75.0,5.117449004375,5.118195690568704,0.9884370329367563,8.319517088326595,280.20029666666665,291.1952225241964,0.7623087546782934,14.22551906381822,197.64208666666664,198.28569206640762,0.969335200053769,2.79129331571228,73.56966666666666,66.55241575061815,0.8159430537877395,6.517522197881559,225.16149,229.2555355523372,0.9257443902052817,5.453349606195292,58.30218033573355,57.13302705203603,0.6286509300880794,6.7648266289318,161.00954153053328,157.65245488151305,0.6844875847724301,16.173668159975655,0.3808192129638944,0.3831960601302904,0.544967235455746,0.014698282367436727
